,Song,Artist,pos,neu,neg,Sentiment
253,Treat You Better,Shawn Mendes,0.0,0.0,0.0,
254,Heathens,Twenty One Pilots,0.0,0.0,0.0,
255,Sorry,Justin Bieber,0.0,0.0,0.0,
256,Love Me Now,John Legend,49.056603773584904,39.62264150943396,11.320754716981133,Positive
257,Make Me (Cry),"Noah Cyrus, Labrinth",2.898550724637681,92.7536231884058,4.3478260869565215,Negative
258,After the Afterparty (feat. Lil Yachty),Charli XCX,0.0,0.0,0.0,
259,Cheap Thrills,Sia,29.03225806451613,70.96774193548387,0.0,Positive
260,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,8.695652173913043,84.78260869565217,6.521739130434782,Positive
261,Lean On (feat. M & DJ Snake),Major Lazer,0.0,0.0,0.0,
262,Final Song,Mï¿½,4.545454545454546,90.9090909090909,4.545454545454546,Neutral
263,"How Far I'll Go - From ""Moana""",Alessia Cara,0.0,0.0,0.0,
264,Bad and Boujee (feat. Lil Uzi Vert),Migos,0.0,0.0,0.0,
265,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,0.0,0.0,0.0,
266,Party Monster,The Weeknd,9.411764705882353,85.88235294117646,4.705882352941177,Positive
267,Oh Lord,MiC LOWRY,1.8518518518518516,94.44444444444444,3.7037037037037033,Negative
268,Shout Out to My Ex,Little Mix,16.0,78.66666666666666,5.333333333333334,Positive
269,Please Don't Go,Joel Adams,3.571428571428571,94.64285714285714,1.7857142857142856,Positive
270,On Hold,The xx,6.25,83.75,10.0,Negative
271,Drinkee,Sofi Tukker,0.0,100.0,0.0,Neutral
272,Too Good,"Drake, Rihanna",4.477611940298507,92.53731343283582,2.9850746268656714,Positive
273,Love Yourself,Justin Bieber,20.689655172413794,74.13793103448276,5.172413793103448,Positive
274,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.0,0.0,0.0,
275,Human,Rag'n'Bone Man,0.0,0.0,0.0,
276,Frozen,"PON CHO, Paige IV",0.0,0.0,0.0,
277,Water Under the Bridge,Adele,22.807017543859647,73.68421052631578,3.508771929824561,Positive
278,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.0,0.0,0.0,
279,1955,"Hilltop Hoods, Montaigne, Tom Thum",8.791208791208792,86.81318681318682,4.395604395604396,Positive
280,Hymn for the Weekend - Seeb Remix,Coldplay,3.6363636363636362,94.54545454545455,1.8181818181818181,Positive
